sitename,county,aqi,pollutant,status,co,pm2.5,pm2.5_avg,nox
三重,新北市,59,二氧化氮,普通,0.99,7.0,10.2,90.6
冬山,宜蘭縣,29,,良好,0.15,6.0,6.6,4.1
宜蘭,宜蘭縣,28,,良好,0.17,5.0,7.0,5.1
陽明,台北市,36,,良好,0.14,4.0,2.0,1.9
花蓮,花蓮縣,40,,良好,0.44,5.0,3.9,19.9
臺東,台東縣,28,,良好,0.25,7.0,3.2,8.9
恆春,屏東縣,37,,良好,0.13,2.0,2.9,2.3
潮州,屏東縣,66,細懸浮微粒,普通,0.34,14.0,18.1,9.7
屏東,屏東縣,77,細懸浮微粒,普通,0.38,25.0,21.9,20.3
小港,高雄市,77,細懸浮微粒,普通,0.45,25.0,22.0,28.5
前鎮,高雄市,70,細懸浮微粒,普通,0.52,20.0,19.3,27.4
前金,高雄市,65,懸浮微粒,普通,0.32,18.0,17.2,18.7
左營,高雄市,71,細懸浮微粒,普通,0.36,21.0,19.9,16.0
楠梓,高雄市,84,細懸浮微粒,普通,0.39,19.0,24.4,24.1
林園,高雄市,81,細懸浮微粒,普通,0.46,37.0,23.5,31.5
大寮,高雄市,87,細懸浮微粒,普通,0.45,36.0,25.5,37.5
鳳山,高雄市,79,細懸浮微粒,普通,0.72,23.0,22.6,38.4
仁武,高雄市,85,細懸浮微粒,普通,0.42,32.0,24.8,27.8
橋頭,高雄市,82,細懸浮微粒,普通,0.33,23.0,24.0,20.9
美濃,高雄市,67,細懸浮微粒,普通,0.37,23.0,18.4,13.5
臺南,台南市,69,細懸浮微粒,普通,0.3,18.0,19.0,18.4
安南,台南市,71,懸浮微粒,普通,0.27,14.0,18.0,14.7
善化,台南市,70,細懸浮微粒,普通,0.29,19.0,19.6,17.5
新營,台南市,66,細懸浮微粒,普通,0.33,18.0,18.0,20.6
嘉義,嘉義市,66,細懸浮微粒,普通,0.34,17.0,18.1,17.3
臺西,雲林縣,57,懸浮微粒,普通,0.24,8.0,8.7,13.9
朴子,嘉義縣,60,懸浮微粒,普通,0.31,14.0,11.9,16.9
新港,嘉義縣,61,懸浮微粒,普通,0.26,15.0,15.1,16.5
崙背,雲林縣,67,細懸浮微粒,普通,0.46,24.0,18.4,20.2
斗六,雲林縣,73,細懸浮微粒,普通,0.32,19.0,20.5,19.1
南投,南投縣,67,細懸浮微粒,普通,0.39,16.0,18.3,19.2
二林,彰化縣,54,懸浮微粒,普通,0.24,9.0,9.3,12.3
線西,彰化縣,27,,良好,0.18,2.0,2.7,9.4
彰化,彰化縣,52,二氧化氮,普通,0.44,6.0,8.3,28.5
西屯,台中市,38,,良好,0.3,9.0,8.7,16.8
忠明,台中市,54,二氧化氮,普通,0.51,10.0,10.2,32.2
大里,台中市,54,二氧化氮,普通,0.57,8.0,9.5,33.1
